#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
 171000      1.44e+00    1.62e+00      8.34e-04    6.33e-04      7.78e-02    8.35e-02      1.01e-02    1.47e-02    3.0e-04
 172000      1.28e+00    1.55e+00      9.20e-05    1.25e-03      7.24e-02    8.47e-02      5.85e-03    8.73e-03    3.0e-04
 173000      1.19e+00    1.30e+00      1.03e-03    1.02e-03      6.07e-02    7.12e-02      1.03e-02    7.47e-03    3.0e-04
 174000      1.26e+00    1.25e+00      3.37e-04    6.95e-04      6.85e-02    7.07e-02      8.73e-03    4.73e-03    3.0e-04
 175000      1.43e+00    1.34e+00      5.40e-04    9.72e-04      7.74e-02    7.22e-02      1.16e-02    1.03e-02    2.9e-04
 176000      1.38e+00    1.29e+00      1.15e-03    9.56e-04      7.02e-02    6.76e-02      1.35e-02    1.14e-02    2.9e-04
 177000      1.31e+00    1.50e+00      1.03e-03    1.06e-03      6.97e-02    8.49e-02      1.06e-02    7.67e-03    2.9e-04
 178000      1.33e+00    1.17e+00      4.01e-04    7.92e-04      7.19e-02    6.09e-02      1.11e-02    1.09e-02    2.9e-04
 179000      1.23e+00    1.27e+00      2.73e-04    2.13e-04      7.23e-02    7.27e-02      2.36e-03    6.01e-03    2.9e-04
 180000      1.21e+00    1.09e+00      5.74e-04    2.09e-04      7.01e-02    6.31e-02      6.61e-03    6.04e-03    2.8e-04
 181000      1.53e+00    1.34e+00      7.90e-05    9.46e-04      6.98e-02    7.14e-02      2.09e-02    1.23e-02    2.8e-04
 182000      1.37e+00    1.38e+00      7.24e-04    3.14e-04      7.66e-02    7.65e-02      9.76e-03    1.10e-02    2.8e-04
 183000      1.30e+00    1.43e+00      3.56e-04    1.01e-03      6.97e-02    8.14e-02      1.23e-02    8.13e-03    2.8e-04
 184000      1.38e+00    1.26e+00      5.60e-04    4.66e-04      7.45e-02    7.35e-02      1.26e-02    6.43e-03    2.8e-04
 185000      1.34e+00    1.41e+00      2.53e-03    1.83e-03      6.72e-02    8.02e-02      9.72e-03    5.92e-03    2.7e-04
 186000      1.14e+00    1.21e+00      1.00e-03    6.63e-04      6.45e-02    7.15e-02      7.43e-03    6.35e-03    2.7e-04
 187000      1.30e+00    1.32e+00      8.48e-04    1.84e-04      6.78e-02    7.46e-02      1.38e-02    1.08e-02    2.7e-04
 188000      1.23e+00    1.23e+00      1.86e-03    1.33e-03      6.26e-02    7.08e-02      1.11e-02    5.96e-03    2.7e-04
 189000      1.39e+00    1.21e+00      1.86e-04    2.61e-04      8.11e-02    7.08e-02      9.25e-03    7.42e-03    2.7e-04
 190000      1.29e+00    1.29e+00      3.67e-04    1.02e-04      7.62e-02    7.76e-02      9.13e-03    7.18e-03    2.6e-04
 191000      1.10e+00    1.12e+00      7.35e-04    7.13e-05      6.66e-02    6.69e-02      4.70e-03    7.00e-03    2.6e-04
 192000      1.34e+00    1.31e+00      2.21e-04    1.28e-03      7.03e-02    7.55e-02      1.55e-02    8.48e-03    2.6e-04
 193000      1.36e+00    1.26e+00      1.93e-03    1.20e-03      7.62e-02    7.25e-02      7.79e-03    8.52e-03    2.6e-04
 194000      1.37e+00    1.21e+00      4.79e-04    1.37e-04      8.12e-02    7.23e-02      9.20e-03    7.30e-03    2.6e-04
 195000      1.40e+00    1.31e+00      5.82e-04    1.69e-03      8.67e-02    7.73e-02      5.75e-03    5.80e-03    2.5e-04
 196000      1.26e+00    1.10e+00      1.37e-04    5.69e-04      7.63e-02    6.77e-02      8.53e-03    5.31e-03    2.5e-04
 197000      1.25e+00    1.21e+00      1.89e-03    9.55e-04      7.05e-02    7.16e-02      7.44e-03    8.41e-03    2.5e-04
 198000      1.23e+00    1.14e+00      2.72e-03    1.60e-03      6.29e-02    5.81e-02      5.98e-03    1.21e-02    2.5e-04
 199000      1.21e+00    1.26e+00      3.18e-04    5.30e-04      7.33e-02    7.14e-02      8.12e-03    1.20e-02    2.5e-04
 200000      1.21e+00    1.21e+00      3.95e-05    1.23e-03      7.71e-02    7.25e-02      4.40e-03    7.94e-03    2.4e-04
 201000      1.42e+00    1.19e+00      2.23e-04    3.43e-05      7.94e-02    7.29e-02      1.58e-02    8.31e-03    2.4e-04
